b_id,b_ts,pickup_datetime_same_time,pickup_datetime_1min,which_week,dist_bin,rides_per_minute,sequence,which_week_dummy,before_after_rain_dummy,within_two_hours_dummy
0,2010-01-17 11:51:00,2010-01-17 06:24:00,2010-01-24 06:24:00,Week after,96.0,62,1911,0,7,0
0,2010-01-17 11:51:00,2010-01-17 06:25:00,2010-01-10 06:25:00,Week before,63.75,64,2244,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:25:00,2010-01-17 06:25:00,Current week,63.0,46,1946,7,0,0
0,2010-01-17 11:51:00,2010-01-17 06:25:00,2010-01-24 06:25:00,Week after,63.5,65,2244,0,8,0
0,2010-01-17 11:51:00,2010-01-17 06:26:00,2010-01-10 06:26:00,Week before,96.75,54,2601,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:26:00,2010-01-17 06:26:00,Current week,63.75,57,2284,8,0,0
0,2010-01-17 11:51:00,2010-01-17 06:26:00,2010-01-24 06:26:00,Week after,63.5,58,2016,0,7,0
0,2010-01-17 11:51:00,2010-01-17 06:27:00,2010-01-10 06:27:00,Week before,63.5,77,2380,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:27:00,2010-01-17 06:27:00,Current week,63.5,62,2348,8,0,0
0,2010-01-17 11:51:00,2010-01-17 06:27:00,2010-01-24 06:27:00,Week after,63.75,68,2364,0,8,0
0,2010-01-17 11:51:00,2010-01-17 06:28:00,2010-01-10 06:28:00,Week before,63.75,55,2754,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:28:00,2010-01-17 06:28:00,Current week,63.5,48,2412,8,0,0
0,2010-01-17 11:51:00,2010-01-17 06:28:00,2010-01-24 06:28:00,Week after,63.75,61,2736,0,9,0
0,2010-01-17 11:51:00,2010-01-17 06:29:00,2010-01-10 06:29:00,Week before,63.75,72,2516,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:29:00,2010-01-17 06:29:00,Current week,63.75,68,2790,9,0,0
0,2010-01-17 11:51:00,2010-01-17 06:29:00,2010-01-24 06:29:00,Week after,63.75,57,2817,0,9,0
0,2010-01-17 11:51:00,2010-01-17 06:30:00,2010-01-10 06:30:00,Week before,63.5,55,2580,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:30:00,2010-01-17 06:30:00,Current week,63.25,57,2548,8,0,0
0,2010-01-17 11:51:00,2010-01-17 06:30:00,2010-01-24 06:30:00,Week after,63.75,60,2898,0,9,0
0,2010-01-17 11:51:00,2010-01-17 06:31:00,2010-01-10 06:31:00,Week before,63.25,62,2644,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:31:00,2010-01-17 06:31:00,Current week,63.75,60,2943,9,0,0
