DATE,afternoon_dummy,HourlyPrecipitation,HourlyDryBulbTemperature,treatment
2010-05-05,1,0.0,78.33333333333333,0
2010-05-06,0,0.0,71.0,0
2010-05-06,1,0.0,76.66666666666667,0
2010-05-07,0,0.0,62.333333333333336,0
2010-05-07,1,0.0,70.33333333333333,0
2010-05-08,0,0.04,62.0,0
2010-05-08,1,0.0,73.33333333333333,0
2010-05-09,0,0.0,49.0,0
2010-05-09,1,0.0,49.666666666666664,0
2010-05-10,0,0.0,51.666666666666664,0
2010-05-10,1,0.0,58.0,0
2010-05-11,0,0.0,53.0,0
2010-05-11,1,0.0,55.0,0
2010-05-13,0,0.0,57.0,0
2010-05-13,1,0.0,64.33333333333333,0
2010-05-14,0,0.04,62.875,0
2010-05-14,1,0.0,75.33333333333333,0
2010-05-15,0,0.0,65.33333333333333,0
2010-05-15,1,0.0,69.66666666666667,0
2010-05-16,0,0.0,63.0,0
2010-05-16,1,0.0,69.66666666666667,0
2010-05-17,0,0.0,69.0,0
2010-05-17,1,0.0,72.33333333333333,0
2010-05-19,0,0.0,57.0,0
2010-05-19,1,0.0,61.0,0
2010-05-20,0,0.0,68.33333333333333,0
2010-05-20,1,0.0,76.33333333333333,0
2010-05-21,0,0.0,79.33333333333333,0
2010-05-21,1,0.0,82.66666666666667,0
2010-05-22,0,0.0,66.33333333333333,0
2010-05-22,1,0.0,71.0,0
2010-05-23,0,0.0,63.4,0
2010-05-23,1,0.0,68.0,0
2010-05-24,0,0.0,64.25,0
2010-05-24,1,0.01,70.2,0
2010-05-25,0,0.0,75.33333333333333,0
2010-05-25,1,0.0,80.33333333333333,0
2010-05-26,0,0.0,83.0,0
2010-05-26,1,0.0,90.0,0
2010-05-27,0,0.0,66.8,0
2010-05-27,1,0.0,72.5,0
2010-05-28,0,0.0,68.33333333333333,0
2010-05-28,1,0.0,68.0,0
2010-05-29,0,0.0,67.25,0
2010-05-29,1,0.0,74.66666666666667,0
2010-05-30,0,0.0,77.0,0
2010-05-30,1,0.0,82.0,0
2010-05-31,0,0.0,82.33333333333333,0
2010-05-31,1,0.0,83.33333333333333,0
2010-06-01,0,0.0,79.6,0
2010-06-01,1,0.0,83.0,0
2010-06-02,0,0.0,80.0,0
2010-06-02,1,0.0,84.66666666666667,0
2010-06-03,0,0.0,78.6,0
2010-06-03,1,0.0,84.33333333333333,0
2010-06-04,0,0.0,81.66666666666667,0
2010-06-04,1,0.0,84.66666666666667,0
2010-06-05,0,0.0,83.0,0
2010-06-05,1,0.0,86.0,0
2010-06-06,0,0.0,83.66666666666667,0
2010-06-06,1,0.0,87.66666666666667,0
2010-06-07,0,0.0,69.0,0
2010-06-07,1,0.0,72.0,0
2010-06-08,0,0.0,67.33333333333333,0
2010-06-08,1,0.0,71.66666666666667,0
2010-06-09,0,0.0,66.0,0
2010-06-09,1,0.04,62.5,0
2010-06-10,0,0.0,64.25,0
2010-06-10,1,0.0,70.5,0
2010-06-11,0,0.0,66.66666666666667,0
2010-06-11,1,0.0,67.66666666666667,0
2010-06-12,0,0.0,69.0,0
2010-06-12,1,0.0,73.0,0
2010-06-13,0,0.0,72.2,0
2010-06-13,1,0.0,75.5,0
2010-06-14,0,0.0,68.0,0
2010-06-14,1,0.0,73.8,0
2010-06-15,0,0.0,73.33333333333333,0
2010-06-15,1,0.0,79.0,0
