STATION,DATE,REPORT_TYPE,SOURCE,AWND,BackupDirection,BackupDistance,BackupDistanceUnit,BackupElements,BackupElevation,BackupElevationUnit,BackupEquipment,BackupLatitude,BackupLongitude,BackupName,CDSD,CLDD,DSNW,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,DailyWeather,HDSD,HTDD,HeavyFog,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlySkyConditions,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed,MonthlyAverageRH,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT32Temp,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithLT32Temp,MonthlyDepartureFromNormalAverageTemperature,MonthlyDepartureFromNormalCoolingDegreeDays,MonthlyDepartureFromNormalHeatingDegreeDays,MonthlyDepartureFromNormalMaximumTemperature,MonthlyDepartureFromNormalMinimumTemperature,MonthlyDepartureFromNormalPrecipitation,MonthlyDewpointTemperature,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureValueDate,MonthlyMaxSeaLevelPressureValueTime,MonthlyMaximumTemperature,MonthlyMeanTemperature,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureValueDate,MonthlyMinSeaLevelPressureValueTime,MonthlyMinimumTemperature,MonthlySeaLevelPressure,MonthlyStationPressure,MonthlyTotalLiquidPrecipitation,MonthlyTotalSnowfall,MonthlyWetBulb,NormalsCoolingDegreeDay,NormalsHeatingDegreeDay,REM,REPORT_TYPE,SOURCE,ShortDurationEndDate005,ShortDurationEndDate010,ShortDurationEndDate015,ShortDurationEndDate020,ShortDurationEndDate030,ShortDurationEndDate045,ShortDurationEndDate060,ShortDurationEndDate080,ShortDurationEndDate100,ShortDurationEndDate120,ShortDurationEndDate150,ShortDurationEndDate180,ShortDurationPrecipitationValue005,ShortDurationPrecipitationValue010,ShortDurationPrecipitationValue015,ShortDurationPrecipitationValue020,ShortDurationPrecipitationValue030,ShortDurationPrecipitationValue045,ShortDurationPrecipitationValue060,ShortDurationPrecipitationValue080,ShortDurationPrecipitationValue100,ShortDurationPrecipitationValue120,ShortDurationPrecipitationValue150,ShortDurationPrecipitationValue180,Sunrise,Sunset,TStorms,WindEquipmentChangeDate
72503394728,2010-01-01T08:22:00,FM-16,6,,ESE,0.5,mi,SNOW,,,SNOWBOARD,,,CENTRAL PARK ZOO,,,,,,,,,,,,,,,,,,,,,,,,,,,29.95,32,36,,BR:1 ||,,,87,,SCT:04 9 BKN:07 19 OVC:08 80,29.78,4,34,280,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09701/01/10 08:22:02 SPECI KNYC 011322Z 28005KT 4SM BR SCT009 BKN019 OVC080 02/00 A2995 RMK AO2 TSNO,FM-16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/18/2006
72503394728,2010-01-01T08:29:00,FM-16,6,,ESE,0.5,mi,SNOW,,,SNOWBOARD,,,CENTRAL PARK ZOO,,,,,,,,,,,,,,,,,,,,,,,,,,,29.95,32,36,,BR:1 ||,,,87,,BKN:07 9 OVC:08 80,29.78,3,34,270,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET10201/01/10 08:29:02 SPECI KNYC 011329Z 27006KT 3SM BR BKN009 OVC080 02/00 A2995 RMK AO2 CIG 008V012 TSNO,FM-16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/18/2006
72503394728,2010-01-01T08:51:00,FM-15,6,,ESE,0.5,mi,SNOW,,,SNOWBOARD,,,CENTRAL PARK ZOO,,,,,,,,,,,,,,,,,,,,,,,,,,,29.95,32,35,0,BR:1 ||,,,89,29.93,BKN:07 9 OVC:08 80,29.78,5,34,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET10701/01/10 08:51:02 METAR KNYC 011351Z 00000KT 5SM BR BKN009 OVC080 02/00 A2995 RMK AO2 SLP134 T00170000 TSNO,FM-15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/18/2006
72503394728,2010-01-01T09:01:00,FM-16,6,,ESE,0.5,mi,SNOW,,,SNOWBOARD,,,CENTRAL PARK ZOO,,,,,,,,,,,,,,,,,,,,,,,,,,,29.95,32,36,,BR:1 ||,,,87,,FEW:02 9 OVC:08 75,29.78,5,34,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09401/01/10 09:01:02 SPECI KNYC 011401Z 00000KT 5SM BR FEW009 OVC075 02/00 A2995 RMK AO2 TSNO RTX,FM-16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/18/2006
72503394728,2010-01-01T09:51:00,FM-15,6,,ESE,0.5,mi,SNOW,,,SNOWBOARD,,,CENTRAL PARK ZOO,,,,,,,,,,,,,,,,,,,,,,,,,,,29.94,32,35,0,BR:1 ||,0.02,8,89,29.92,OVC:08 70,29.77,5,34,VRB,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET10601/01/10 09:51:02 METAR KNYC 011451Z VRB04KT 5SM BR OVC070 02/00 A2994 RMK AO2 SLP131 T00170000 58006 TSNO,FM-15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/18/2006
72503394728,2010-01-01T10:51:00,FM-15,6,,ESE,0.5,mi,SNOW,,,SNOWBOARD,,,CENTRAL PARK ZOO,,,,,,,,,,,,,,,,,,,,,,,,,,,29.92,31,36,0,,,,82,29.9,OVC:08 60,29.75,8,34,270,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09801/01/10 10:51:02 METAR KNYC 011551Z 27006KT 8SM OVC060 02/M01 A2992 RMK AO2 SLP124 T00221006 TSNO,FM-15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/18/2006
72503394728,2010-01-01T11:51:00,FM-15,6,,ESE,0.5,mi,SNOW,,,SNOWBOARD,,,CENTRAL PARK ZOO,,,,,,,,,,,,,,,,,,,,,,,,,,,29.89,32,37,0,,,,82,29.87,OVC:08 65,29.72,8,35,VRB,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09701/01/10 11:51:02 METAR KNYC 011651Z VRB04KT 8SM OVC065 03/00 A2989 RMK AO2 SLP115 T00280000 TSNO,FM-15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/18/2006
72503394728,2010-01-01T12:51:00,FM-15,6,,ESE,0.5,mi,SNOW,,,SNOWBOARD,,,CENTRAL PARK ZOO,,,,,,,,,,,,,,,,,,,,,,,,,,,29.86,32,38,0,,0.07,8,79,29.84,OVC:08 70,29.69,8,36,VRB,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET11501/01/10 12:51:02 METAR KNYC 011751Z VRB03KT 8SM OVC070 03/00 A2986 RMK AO2 SLP106 T00330000 10033 20011 58025 TSNO,FM-15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/18/2006
72503394728,2010-01-01T13:51:00,FM-15,6,,ESE,0.5,mi,SNOW,,,SNOWBOARD,,,CENTRAL PARK ZOO,,,,,,,,,,,,,,,,,,,,,,,,,,,29.86,32,40,0,,,,73,29.83,OVC:08 70,29.69,9,37,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09701/01/10 13:51:02 METAR KNYC 011851Z 00000KT 9SM OVC070 04/00 A2986 RMK AO2 SLP102 T00440000 TSNO,FM-15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/18/2006
72503394728,2010-01-01T14:51:00,FM-15,6,,ESE,0.5,mi,SNOW,,,SNOWBOARD,,,CENTRAL PARK ZOO,,,,,,,,,,,,,,,,,,,,,,,,,,,29.85,32,40,0,,,,73,29.83,OVC:08 75,29.68,9,37,300,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09701/01/10 14:51:02 METAR KNYC 011951Z 30004KT 9SM OVC075 04/00 A2985 RMK AO2 SLP101 T00440000 TSNO,FM-15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/18/2006
